TABLE_ID,CODIGO,ESCUELA,REGION,DISTRITO,MUNICIPIO_ESCOLAR,DIRECCION_FISICA,DIRECCION_MUNICIPIO,DIRECCION_ESTADO,DIRECCION_ZIPCODE,GEOLOCALIZACION,TELEFONO,FAX,DIRECTOR,ZONA,OPERACIONAL_2018-2019,NIVEL_ORIGINAL,GRADOS_ORIGINAL,GRADOS_POSTERIOR,MATRICULA_TOTAL,GRADO_INFANT,GRADO_TODDLER,GRADO_PK,GRADO_PKE,GRADO_PKM,GRADO_K,GRADO_1,GRADO_2,GRADO_3,GRADO_4,GRADO_5,GRADO_6,GRADO_SGE,GRADO_7,GRADO_8,GRADO_9,GRADO_SGI,GRADO_10,GRADO_11,GRADO_12,GRADO_SGS,ESPAÑOL_[PROFICIENTE+AVANZADO],ESPAÑOL_PRE-BÁSICO,ESPAÑOL_BÁSICO,ESPAÑOL_PROFICIENTE,ESPAÑOL_AVANZADO,MATEMÁTICAS_[PROFICIENTE+AVANZADO],MATEMÁTICAS_PRE-BÁSICO,MATEMÁTICAS_BÁSICO,MATEMÁTICAS_PROFICIENTE,MATEMÁTICAS_AVANZADO,INGLÉS_[PROFICIENTE+AVANZADO],INGLÉS_PRE-BÁSICO,INGLÉS_BÁSICO,INGLÉS_PROFICIENTE,INGLÉS_AVANZADO,BAJO_NIVEL_POBREZA
553,70532,JOSEFITA MONSERRATE DE SELLES,BAYAMON,BAYAMON,BAYAMON II,PMB 263 UU-1  C/39,BAYAMON,PR,9590000,"(18.38037, -66.14879)",785-2238,785-2238,FELIX VALENTIN MELIA,URBANA,SI,ELEMENTAL,K - 6,"K - 5, PKEE, EEE",279,,,,8,,42,45,56,50,44,33,,1,,,,,,,,,53.85,5.13,41.03,32.05,21.79,64.1,0,35.9,42.31,21.79,39.74,11.54,48.72,24.36,15.38,74.06
554,62893,JUAN  ANTONIO  CORRETJER,SAN JUAN,SAN JUAN II,SAN JUAN V,CARR 844 KM 3 CUPEY BAJO,SAN JUAN,PR,00928-0000,"(18.3547, -66.03896)",761-1560,283-3865,VACANTE,RURAL,SI,SEGUNDA UNIDAD,"K - 9 , EEE - EEI","K - 9 , EEE - EEI",350,,,,,,19,32,27,20,26,21,50,23,48,32,29,23,,,,,22.17,24.35,53.48,15.22,6.96,10.92,37.12,51.97,7.86,3.06,9.48,45.26,45.26,7.76,1.72,92.46
555,17319,JUAN A CORRETJER,ARECIBO,MANATI,CIALES,CARR 146 KM 2 BO CORDILLERA,CIALES,PR,00638-0000,"(18.34071, -66.47404)",871-5405,871-5405,ANGEL R. MALDONADO VELEZ,RURAL,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",670,,,,,,,,,,,,,,,,184,,158,174,148,6,41.14,12.66,46.2,27.22,13.92,18.47,24.2,57.32,5.73,12.74,41.77,25.32,32.91,22.78,18.99,79.55
556,30734,JUAN A SANCHEZ,HUMACAO,LAS PIEDRAS,JUNCOS,CARR 946 KM 0 HM 9 BO PLACITA,JUNCOS,PR,00777-0000,"(18.24354, -65.89991)",734-4347,734-0065,VELDA L. PABELLON GONZALEZ,RURAL,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",259,,,,,17,35,31,34,35,41,34,29,3,,,,,,,,,87.59,2.19,10.22,6.57,81.02,91.24,0,8.76,31.39,59.85,81.75,1.46,16.79,26.28,55.47,68.42
557,14779,JUAN A SANCHEZ DAVILA,ARECIBO,MANATI,MANATI,CARR 670 KM 1 HM 2,MANATI,PR,00674-0000,"(18.42371, -66.48107)",854-7747,884-3898,ANABELLE GRACIANO RIOS,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",215,,,,,,29,34,39,28,35,37,,13,,,,,,,,,31.88,23.19,44.93,13.77,18.12,28.99,19.57,51.45,23.19,5.8,10.95,32.85,56.2,9.49,1.46,91.71
558,12930,JUAN ALEJO ARIZMENDI,ARECIBO,CAMUY,QUEBRADILLAS,CALLE FRANCISCO AVILA,QUEBRADILLAS,PR,00678-0000,"(18.47474, -66.93604)",895-2180,895-2180,MARIA MAGDALENA VERA,URBANA,SI,SUPERIOR,12-Oct,12-Oct,382,,,,,,,,,,,,,,,,104,,76,98,104,,41.05,21.05,37.89,28.42,12.63,0,37.89,62.11,0,0,46.32,28.42,25.26,25.26,21.05,82.32
559,32771,JUAN B HUYKE,HUMACAO,YABUCOA,YABUCOA,BO JUAN MARTIN VILLA,YABUCOA,PR,00767-0000,"(18.03961, -65.87768)",893-2122,893-2122,CARLOS H. SANCHEZ RIOS,RURAL,NO,ELEMENTAL,K - 6,K - 6,193,,,,,,28,33,28,30,40,34,,,,,,,,,,,31,15,54,21,10,40,7,53,30,10,24,31,45,20,4,78.49
560,61408,JUAN B HUYKE,SAN JUAN,SAN JUAN II,SAN JUAN V,CALLE SAN IGNACIO URB. ALTAMESA,GUAYNABO,PR,9663762,"(18.3798, -66.09315)",782-3924,793-4645,BLANCA N. NEGRON ORTIZ,URBANA,SI,ELEMENTAL,K - 6,K - 8,413,,,,,,33,48,50,47,45,56,31,,51,52,,,,,,,46.15,20.28,33.57,31.47,14.69,51.41,6.34,42.25,30.99,20.42,23.94,25.35,50.7,19.01,4.93,94.78
561,52258,JUAN CUEVAS ABOY,PONCE,PONCE,PONCE III,CALLE EDUARDO CUEVAS URB VILLA GRILLASCA,PONCE,PR,00732-7571,"(17.99976, -66.62222)",843-3895,843-3895,ROSARIO LEGRAND GARCIA,URBANA,SI,ELEMENTAL,K - 6,K - 6,303,,,,,,48,45,49,53,62,46,,,,,,,,,,,58.64,5.56,35.8,25.31,33.33,77.16,2.47,20.37,22.84,54.32,34.57,19.14,46.3,24.07,10.49,81.79
562,42804,JUAN DE DIOS QUINONES,MAYAGUEZ,SAN SEBASTIAN,MOCA,CARR 125 KM 9 HM 7 BO VOLADORA,MOCA,PR,00676-2173,"(18.37883, -67.07915)",877-5108,877-5108,MAYRA LORENZO VELAZQUEZ,RURAL,SI,ELEMENTAL,"K - 6 , EEE","k - 5, EEE",341,,,,,,43,45,52,62,61,72,,6,,,,,,,,,47.87,9.57,42.55,29.79,18.09,48.4,6.91,44.68,27.66,20.74,56.99,11.83,31.18,27.96,29.03,81.96
563,75804,JUAN E MIRANDA,SAN JUAN,GUAYNABO,GUAYNABO,CARR 177 AVE LOMAS VERDES BO FRAILES LLANOS,GUAYNABO,PR,00970-0000,"(18.38058, -66.11586)",790-8198,790-8198,PERFECTO O. TRABAL,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",402,,,,,,,,,,,,87,,122,140,,53,,,,,39.46,13.03,47.51,24.9,14.56,3.86,27.03,69.11,3.09,0.77,30.77,35.38,33.85,20.38,10.38,73.99
564,43059,JUAN I VEGA,MAYAGUEZ,CABO ROJO,SABANA GRANDE,CARR 368 KM 2 HM 2 BO MACHUCHAL,SABANA GRANDE,PR,00637-0000,"(18.07258, -66.94436)",873-0545,873-0545,DANIEL A RIGUAL MARTINEZ,RURAL,NO,ELEMENTAL,PK - 6,PK - 6,195,,,16,,,25,21,20,28,32,24,,29,,,,,,,,,56.7,15.46,27.84,26.8,29.9,50.52,10.31,39.18,31.96,18.56,51.02,9.18,39.8,44.9,6.12,74.68
565,35881,JUAN JOSE MAUNEZ,HUMACAO,FAJARDO,NAGUABO,CALLE BUENOS AIRES FINAL,NAGUABO,PR,00718-0000,"(18.2083, -65.73694)",874-0416,874-2155,MILAGROS LUYANDO HERNANDEZ,URBANA,SI,SUPERIOR,12-Oct,12-Oct,496,,,,,,,,,,,,,,,,147,,139,117,93,,24.55,17.27,58.18,14.55,10,0,26.36,73.64,0,0,22.73,52.73,24.55,7.27,15.45,80.54
566,61390,JUAN JOSE OSUNA,SAN JUAN,SAN JUAN I,SAN JUAN II,CALLE TOURS SOTO URB. BALDRICH,SAN JUAN,PR,00919-1766,"(18.41281, -66.05916)",282-0950,282-0799,FELIX DE J. AVILES MEDINA,URBANA,SI,SECUNDARIO,12-Sep,12-Sep,213,,,,,,,,,,,,,,,,47,,59,63,44,,82.26,3.23,14.52,46.77,35.48,3.23,8.06,88.71,1.61,1.61,74.19,4.84,20.97,20.97,53.23,45.28
567,40204,JUAN LINO SANTIAGO,MAYAGUEZ,AGUADILLA,AGUADA,CARR 417 KM.3HM.6 BO. GUANABANO,AGUADA,PR,00602-0000,"(18.36866, -67.15569)",868-5600,868-4165,IRMA I. LUGO SANCHEZ,RURAL,SI,ELEMENTAL,"PK - 6 , EEE",k - 6,578,,,36,,,82,74,72,76,84,78,76,,,,,,,,,,52.82,6.34,40.85,26.06,26.76,38.03,11.27,50.7,21.83,16.2,49.3,9.86,40.85,33.8,15.49,78.28
568,52159,JUAN MOREL CAMPOS (MUSICA),PONCE,PONCE,PONCE II,CALLE LOLITA TIZOL #20,PONCE,PR,00733-4087,"(18.01171, -66.61019)",842-3974,842-3974,JAVIER VAN TULL RODRIGUEZ,URBANA,SI,TODOS LOS NIVELES,43072,43072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,70177,JUAN MORELL CAMPOS,BAYAMON,BAYAMON,BAYAMON III,URB EXT VILLA RICA CALLE 4 ESQ 5,BAYAMON,PR,00959-0000,"(18.397, -66.1717)",786-5520,740-7433,CARMEN E. ALCAZAR MORALES,URBANA,SI,ELEMENTAL,K - 6,"K - 5, EEE",233,,,,,,23,36,47,37,30,44,,16,,,,,,,,,39.42,10.58,50,19.23,20.19,48.08,3.85,48.08,21.15,26.92,30.77,26.92,42.31,21.15,9.62,85.15
570,20826,JUAN NAVARRO,CAGUAS,GURABO,CAGUAS II,"CARR 172 KM 6 HM 2,SECTOR LA SIERRA BO CANABONCITO",CAGUAS,PR,00726-4952,"(18.205, -66.10653)",704-0790,747-6600,ARACELYS FONTANEZ LUGO,RURAL,NO,ELEMENTAL,K - 6,K - 6,111,,,,,,19,17,17,22,21,15,,,,,,,,,,,91.38,1.72,6.9,29.31,62.07,89.66,0,10.34,27.59,62.07,72.41,1.72,25.86,58.62,13.79,88.57
571,33704,JUAN PONCE DE LEON,HUMACAO,LAS PIEDRAS,HUMACAO,CALLE DR VIDAL,HUMACAO,PR,00792-9252,"(18.14893, -65.82277)",852-1242,852-6800,NYDIA M. VEGA CINTRON,URBANA,SI,INTERMEDIO,"7 - 9,","7 - 9,",375,,,,,,,,,,,,126,,131,118,,,,,,,62.53,4.13,33.33,33.06,29.48,14.36,18.23,67.4,10.77,3.59,65.47,8.01,26.52,29.83,35.64,53.87
572,62547,JUAN PONCE DE LEON,SAN JUAN,SAN JUAN II,SAN JUAN IV,AVE BARBOSA ESQ VERGEL 374,SAN JUAN,PR,00930-0220,"(18.42046, -66.0433)",764-4630,,JOSE PEREZ BIDO,URBANA,SI,SUPERIOR,12-Oct,12-Oct,363,,,,,,,,,,,,,,,,84,,115,56,76,32,23.73,23.73,52.54,22.03,1.69,0,44.07,55.93,0,0,17.24,51.72,31.03,12.07,5.17,90.55
573,75879,JUAN PONCE DE LEON,SAN JUAN,GUAYNABO,GUAYNABO,CARR 2 KM 7 HM 3 BO JUAN DOMINGO,GUAYNABO,PR,00966-0000,"(18.40019, -66.12109)",792-3550,792-3550,LISELY MENDEZ,URBANA,SI,SEGUNDA UNIDAD,PK - 9,PK - 9,367,9,9,27,,12,27,23,33,33,29,29,28,,27,29,20,,9,13,10,,56.52,6.52,36.96,34.78,21.74,35.87,11.96,52.17,20.65,15.22,46.74,18.48,34.78,27.17,19.57,54.61
574,10827,JUAN PONCE DE LEON II,ARECIBO,MANATI,FLORIDA,CARR 631 KM 5 BO CEIBA,FLORIDA,PR,00650-0000,"(18.35825, -66.56795)",822-2050,822-0171,JEANETTE VAZQUEZ DIAZ,URBANA,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",660,,,,,,,,,,,,,,,,138,,174,165,160,23,44.05,9.52,46.43,25.6,18.45,41.67,8.93,49.4,19.05,22.62,52.38,27.38,20.24,34.52,17.86,76.64
575,75267,JUAN QUIRINDONGO MORELL,ARECIBO,VEGA ALTA,VEGA BAJA,CALLE Q FERNAL URB EL ROSARIO,VEGA BAJA,PR,00694-0000,"(18.43197, -66.39969)",858-7844,858-7933,JOSEFINA CAMACHO ROSA,URBANA,SI,SUPERIOR,12-Oct,12-Oct,704,,,,,,,,,,,,,,,,215,,202,147,140,,49.65,13.48,36.88,31.91,17.73,4.96,22.7,72.34,2.13,2.84,34.75,30.5,34.75,17.73,17.02,70.69
576,62554,JUAN RAMON JIMENEZ,SAN JUAN,SAN JUAN II,SAN JUAN IV,"CALLE 46, ESQ. SICARDO RES. MANUEL A. PEREZ",SAN JUAN,PR,00923-0000,"(18.41278, -66.03416)",767-9463,764-3827,JOSE A. VALERIO RIVERA,URBANA,SI,INTERMEDIO,9-Jul,9-Jul,257,,,,,,,,,,,,104,,68,85,,,,,,,21.66,29.49,48.85,14.75,6.91,0.92,49.31,49.77,0.92,0,14.29,58.99,26.73,8.76,5.53,93.39
577,70060,JUAN RAMON JIMENEZ,BAYAMON,BAYAMON,BAYAMON I,CARR 864 BO HATO TEJAS,BAYAMON,PR,00961-0000,"(18.40438, -66.18355)",798-5428,778-2536,IVAN A BURGOS ORTIZ,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",402,,,,,,,,,,,,120,,138,100,,44,,,,,16.45,35.54,48.01,9.81,6.63,2.94,48.4,48.66,2.14,0.8,21.18,47.45,31.37,15.28,5.9,84.08
578,75697,JUAN ROMAN OCASIO,SAN JUAN,GUAYNABO,GUAYNABO,CALLE SAN MIGUEL #28 JUAN DOMINGO,GUAYNABO,PR,00970-0000,"(18.39606, -66.1255)",783-4272,273-6183,MYRNA E. OLIVERAS CAMACHO,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",160,,,,,,25,28,26,19,14,22,20,6,,,,,,,,,61.45,2.41,36.14,31.33,30.12,59.04,4.82,36.14,37.35,21.69,46.99,7.23,45.78,28.92,18.07,84.97
579,55731,JUAN SERAPIO MANGUAL,PONCE,SANTA ISABEL,JUANA DIAZ,CARR 1 KM 13 HM 9 BO PASTILLO,JUANA DIAZ,PR,00795-0000,"(17.99454, -66.4909)",837-8515,837-6693,ANGEL LUIS VELEZ,RURAL,SI,ELEMENTAL,K - 6,K - 6,337,,,,,,50,49,46,43,45,47,57,,,,,,,,,,60.47,6.2,33.33,20.16,40.31,50.39,13.95,35.66,15.5,34.88,72.87,5.43,21.71,34.88,37.98,79.38
580,57562,JUAN SERRALLES (INTERMEDIA),PONCE,PONCE,PONCE I,CALLE JOBOS FINAL BO COTO LAUREL,PONCE,PR,00730-0000,"(18.05104, -66.54771)",848-2005,848-7758,DRA. JUSTINA OCASIO LANDRON,RURAL,SI,INTERMEDIO,9-Jul,9-Jul,529,,,,,,,,,,,,95,,140,162,132,,,,,,45.26,12.11,42.63,22.89,22.37,5.53,32.63,61.84,4.74,0.79,29.74,34.74,35.53,18.16,11.58,72.16
581,52274,JUAN SERRALLES (SUPERIOR),PONCE,PONCE,PONCE I,CARR. 14 BO COTO LAUREL,PONCE,PR,00780-1136,"(18.04971, -66.54824)",848-5274,848-5274,JOSE A. RODRIGUEZ VEGA,RURAL,SI,SUPERIOR,12-Oct,12-Oct,434,,,,,,,,,,,,,,,,,,129,153,152,,46.67,11.33,42,30,16.67,1.34,27.52,71.14,0.67,0.67,34.23,31.54,34.23,21.48,12.75,80.38
582,47647,JUAN SUAREZ PELEGRINA (NUEVA),MAYAGUEZ,AGUADILLA,AGUADILLA,CARR.459 BO. MONTANA,AGUADILLA,PR,00605-0000,"(18.48632, -67.09782)",890-2320,890-2550,DAVIS GONZALEZ PUMAREJO,RURAL,SI,SUPERIOR,12-Oct,12-Oct,923,,,,,,,,,,,,,,,,345,,168,209,201,,50.24,14.49,35.27,27.54,22.71,17.39,16.91,65.7,11.11,6.28,60.39,16.91,22.71,23.19,37.2,71.96
583,21725,JUAN ZAMORA,CAGUAS,BARRANQUITAS,COMERIO,CARR 780 KM 3 BO. DONA ELENA,COMERIO,PR,00782-0000,"(18.25357, -66.23547)",875-4341,875-4341,ZAMARY OJEDA AVILES,RURAL,NO,ELEMENTAL,K - 6,K - 6,176,,,,,,20,25,34,31,34,32,,,,,,,,,,,96.74,0,3.26,35.87,60.87,93.48,0,6.52,30.43,63.04,95.65,0,4.35,34.78,60.87,87.5
584,68510,JUANA A MENDEZ,SAN JUAN,CAROLINA,CAROLINA I,URB METROPOLIS CALLE 1 FINAL,CAROLINA,PR,00986-7709,"(18.36965, -65.98575)",768-3735,257-8665,CARMEN NIEVES SUAREZ,URBANA,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",459,,,,3,,52,70,74,82,92,64,,22,,,,,,,,,60.58,3.85,35.58,33.01,27.56,52.49,6.98,40.53,32.23,20.27,54.97,5.96,39.07,39.74,15.23,85.68
585,43547,JUANA B GUZMAN,MAYAGUEZ,SAN SEBASTIAN,SAN SEBASTIAN,CARR 119 KM 35 HM 2 BO GUACIO,SAN SEBASTIAN,PR,6850662,"(18.27701, -66.98115)",280-4072,280-4072,ZAIDA PEREZ QUILES,RURAL,NO,ELEMENTAL,PK - 6,PK - 6,89,,,16,,,7,10,13,18,11,14,,,,,,,,,,,72.55,11.76,15.69,29.41,43.14,57.69,3.85,38.46,25,32.69,57.69,23.08,19.23,42.31,15.38,77.14
586,21758,JUANA COLON,CAGUAS,BARRANQUITAS,COMERIO,CARR 778 BDA. PASARELL. SECTOR INDUSTRIAL,COMERIO,PR,00782-0000,"(18.22355, -66.2187)",875-2130,875-0577,YANIRANET COTTO LOPEZ,URBANA,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",475,,,,,,,,,,,,,,,,102,,142,139,62,30,49.29,16.43,34.29,27.86,21.43,5.71,25,69.29,5,0.71,33.81,38.13,28.06,17.99,15.83,81.2
587,12278,JUANA G AVILES (FRANQUEZ),BAYAMON,OROCOVIS,MOROVIS,CARR 155 KM 2 HM 1 RAMAL 634 BO FRANQUEZ,MOROVIS,PO BOX 479,6870479,"(18.35627, -66.40972)",862-2440,862-2460,ANGEL BARZANA,RURAL,SI,ELEMENTAL,K - 6,K - 6,308,,,,,,49,52,50,54,48,55,,,,,,,,,,,48.72,7.05,44.23,23.72,25,44.23,7.05,48.72,30.77,13.46,18.06,21.29,60.65,11.61,6.45,66.23
588,33563,JUANA RODRIGUEZ MUNDO,HUMACAO,CANOVANAS,CANOVANAS,URB LOIZA VALLEY CALLE ADONIS,CANOVANAS,PR,00729-0000,"(18.3727, -65.91383)",876-4828,876-4828,YVIS C. LLANOS ORTA,URBANA,SI,ELEMENTAL,PK - 6,PK - 6,247,,,,,37,39,39,43,42,22,25,,,,,,,,,,,59.29,9.73,30.97,33.63,25.66,41.59,12.39,46.02,16.81,24.78,38.94,17.7,43.36,23.01,15.93,79.81
589,62539,JUANITA GARCIA PERAZA,SAN JUAN,SAN JUAN II,SAN JUAN IV,LAGUNA FINAL BO ISRAEL,SAN JUAN,PR,00917-3632,"(18.42757, -66.04356)",763-8272,763-8272,CARMEN DECHOUDENS,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",232,,,,,,37,28,33,35,44,35,,20,,,,,,,,,95.35,0,4.65,20.93,74.42,98.43,0,1.57,11.02,87.4,99.21,0.79,0,15.75,83.46,87.95
590,10710,JUANITA RAMIREZ GONZALEZ,ARECIBO,MANATI,FLORIDA,CARR 642 KM 10 HM 3 COMUNIDAD ARROYO,FLORIDA,PR,00650-0000,"(18.36364, -66.55081)",822-2190,822-0809,ERNESTO MAISONET PEREZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",375,,,,8,,56,61,70,58,57,51,,14,,,,,,,,,37.45,17.87,44.68,24.26,13.19,30.64,11.91,57.45,22.55,8.09,33.91,21.03,45.06,23.18,10.73,85.01
591,51680,JUANITA RIVERA,PONCE,SANTA ISABEL,JUANA DIAZ,CARR 149 KM 66 HM 3 BO LOMAS,JUANA DIAZ,PR,00795-0000,"(18.0613, -66.50693)",260-2503,260-2503,IRENE CRESPO CRUZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,183,,,,,,23,31,25,27,28,22,27,,,,,,,,,,57.69,5.77,36.54,28.85,28.85,52.88,12.5,34.62,39.42,13.46,50.96,7.69,41.35,32.69,18.27,66.67
592,32300,JUANITA RIVERA ALBERT,HUMACAO,FAJARDO,VIEQUES,COMUNIDAD ESPERANZA PARCELAS NUEVAS KM3 HM2 INT.,VIEQUES,PR,7659712,"(18.09832, -65.47612)",741-3060,741-4374,BRENDA LEE TORRES ACEVEDO,RURAL,SI,ELEMENTAL,"PK - 1 , EEE","PK - 1 , EEE",82,15,18,,,32,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67
593,16220,JUDITH A VIVAS,PONCE,UTUADO,UTUADO,AVE RIBAS DOMINICCI,UTUADO,PR,00641-0000,"(18.26701, -66.6955)",894-3446,894-3446,SAMUEL RODRIGUEZ SANTIAGO,URBANA,SI,ELEMENTAL,PK - 6 EEE,PK - 6 EEE,372,,,,,,46,53,57,67,83,63,,3,,,,,,,,,89.04,0.46,10.5,24.2,64.84,92.69,0.46,6.85,25.57,67.12,73.52,3.2,23.29,41.55,31.96,82.71
594,52464,JULIA CORDERO NEGRON,PONCE,PONCE,PONCE III,CARR 132 KM - 21 4 BO PASTILLO CANAS,PONCE,PR,00732-7855,"(18.03512, -66.66209)",843-8248,843-8248,MIGDALIA FREIRE,RURAL,NO,ELEMENTAL,K - 6,K - 6,152,,,,,,25,26,26,27,27,21,,,,,,,,,,,11.43,32.86,55.71,8.57,2.86,27.54,27.54,44.93,18.84,8.7,11.76,45.59,42.65,7.35,4.41,95
595,31146,JULIA DE BURGOS,HUMACAO,CANOVANAS,CANOVANAS,CARR 894 BO TORRECILLA ALTA,CANOVANAS,PR,00729-0000,"(18.39002, -65.91583)",876-3100,876-3100,WANDA I. MUJICA ROBLES,RURAL,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",186,,,,,,37,22,33,30,25,29,,10,,,,,,,,,37.63,10.75,51.61,24.73,12.9,45.16,11.83,43.01,35.48,9.68,27.96,10.75,61.29,21.51,6.45,91.43
596,60038,JULIAN E BLANCO (BALLET),SAN JUAN,SAN JUAN I,SAN JUAN I,"CALLE MARTIN TRAVIESO, ESQ. ESTRELLA",SAN JUAN,PR,00907-0000,"(18.45074, -66.06586)",721-9021,721-4322,LISSETTE VAZQUEZ,URBANA,SI,TODOS LOS NIVELES,43074,43074,113,,,,,,,,,,,15,20,,16,14,12,,12,12,12,,75.34,2.74,21.92,28.77,46.58,63.01,1.37,35.62,32.88,30.14,84.93,0,15.07,27.4,57.53,44.25
597,55475,JULIO ALVARADO,PONCE,PONCE,PONCE III,CALLE 13 URB JARDINES DEL CARIBE,PONCE,PR,00731-0000,"(18.00938, -66.64463)",844-7048,844-7048,"ISAAC RUIZ-SOLA, ED. D.",URBANA,SI,ELEMENTAL,K - 6,K - 6,338,,,,,,44,58,59,60,60,57,,,,,,,,,,,36.99,17.34,45.66,27.17,9.83,41.04,7.51,51.45,26.59,14.45,19.08,27.17,53.76,13.29,5.78,82.35
598,52704,JULIO COLLAZO SILVA,PONCE,PONCE,PONCE I,CARR 14 BO CERRILLOS,PONCE,PR,00715-0000,"(18.07412, -66.63531)",848-2385,848-2386,SAMUEL HERNANDEZ,RURAL,SI,ELEMENTAL,K - 6,K - 6,232,,,,,,28,42,27,28,40,30,37,,,,,,,,,,34.56,20.59,44.85,19.12,15.44,34.81,11.11,54.07,25.93,8.89,17.78,33.33,48.89,14.07,3.7,84.82
599,11908,JULIO LEBRON SOTO,ARECIBO,CAMUY,LARES,CARR 135 KM 60 BO CASTANER,LARES,PR,6320000,"(18.18159, -66.83379)",829-3916,829-3916,LUDMARY AVILES CRUZ,RURAL,NO,ELEMENTAL,PK - 6,PK - 6,255,,,31,,,28,21,31,48,34,31,30,1,,,,,,,,,71.83,2.82,25.35,37.32,34.51,52.48,0.71,46.81,35.46,17.02,53.19,6.38,40.43,40.43,12.77,86.18
600,70292,JULIO RESSY,BAYAMON,BAYAMON,BAYAMON II,CARR 830 KM 2 HM 2 CERRO GORDO,BAYAMON,PR,-956,"(18.34489, -66.17287)",799-4950,279-1080,LETICIA BAEZ,RURAL,SI,ELEMENTAL,K - 6,K - 6,313,,,,,,40,63,39,53,58,60,,,,,,,,,,,56.65,4.05,39.31,31.79,24.86,52.6,2.31,45.09,39.88,12.72,34.1,18.5,47.4,20.81,13.29,91.67
601,10314,JULIO SEIJO,ARECIBO,ARECIBO,ARECIBO II,CARR 129 KM 28 HM 3 BO HATO ARRIBA,ARECIBO,PR,6129612,"(18.44455, -66.75505)",878-2062,878-2062,MARIBEL COLON GONZALEZ,URBANA,SI,ELEMENTAL,K - 6,K - 6,257,,,,,,35,35,38,34,39,42,34,,,,,,,,,,50.34,7.48,42.18,22.45,27.89,52.38,6.8,40.82,34.69,17.69,49.66,5.44,44.9,29.93,19.73,77.59
602,61416,JULIO SELLES SOLA,SAN JUAN,SAN JUAN I,SAN JUAN II,URB VILLA NEVAREZ CALLE 19 ESQ 20,SAN JUAN,PR,00927-0000,"(18.39722, -66.06661)",767-1333,758-5742,YANIRA SANTA,URBANA,SI,ELEMENTAL,K - 6,K - 6,557,,,,,,47,78,82,98,122,125,,5,,,,,,,,,53.62,11.76,34.62,27.6,26.02,55.33,11.79,32.88,30.61,24.72,44.85,14.87,40.27,29.52,15.33,51.17
603,43224,JULIO V GUZMAN,MAYAGUEZ,CABO ROJO,SAN GERMAN,AVE DR HARRIS 23,SAN GERMAN,PR,00683-0000,"(18.08377, -67.04663)",892-1168,892-1168,GLORIA A. PADILLA CINTRON,URBANA,SI,INTERMEDIO,"7 - 9 , EEI",8-Jun,444,,,,,,,,,,,,152,,167,100,,25,,,,,40.08,13.89,46.03,21.03,19.05,6.8,20.8,72.4,5.2,1.6,29.27,36.59,34.15,17.48,11.79,81.31
604,23515,JUSTINA VAZQUEZ MENDOZA,CAGUAS,GURABO,CAGUAS II,URB MARIOLGA CALLE SAN ANTONIO ESQ SAN JOSE,CAGUAS,PR,00726-5838,"(18.21653, -66.03645)",743-6069,743-6069,EILEEN BAEZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",281,,,,,,44,49,44,41,39,45,,19,,,,,,,,,71.79,11.54,16.67,3.85,67.95,75.64,7.69,16.67,16.67,58.97,63.64,12.99,23.38,25.97,37.66,90.51
605,45641,LA CARMEN,MAYAGUEZ,MAYAGUEZ,MARICAO,CARR 105 KM 21.2,MARICAO,PR,00606-0000,"(18.17701, -67.00668)",838-2425,838-3044,NILKA E. MUNOZ,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",128,,,,,,23,14,19,24,16,13,19,,,,,,,,,,85.71,1.43,12.86,24.29,61.43,81.43,0,18.57,34.29,47.14,62.86,2.86,34.29,48.57,14.29,87.07
606,61424,LA ESPERANZA (LUIS PALES MATOS),SAN JUAN,SAN JUAN I,SAN JUAN II,CALLE 19 NE PTO NUEVO,SAN JUAN,PR,00926-0000,"(18.41698, -66.08094)",782-0295,783-3340,MAYRA I GARCIA,URBANA,SI,TODOS LOS NIVELES,EEE - EES,EEE - EES,233,,,,,,,,,,,,,102,,,,,,,,131,50.72,47.83,1.45,2.9,47.83,84.06,13.04,2.9,31.88,52.17,94.2,5.8,0,0,94.2,62.96
